,Unnamed: 0,French,English
0,0,partie,part
1,1,histoire,history
2,2,chercher,search
3,3,seulement,only
4,4,pensais,thought
5,5,aide,help
6,6,genre,kind
7,7,mois,month
8,8,frère,brother
9,9,laisser,let
10,10,car,because
11,11,mettre,to put
12,12,aucun,no
13,13,laisse,leash
14,14,eux,them
15,15,chaque,each
16,16,parlé,speak
17,17,arrivé,come
18,18,bébé,baby
19,19,vont,will
20,20,pendant,while
21,21,revoir,meet again
22,22,aucune,any
23,23,place,square
24,24,compris,understood
25,25,savais,knew
26,27,attention,Warning
27,28,voici,here is
28,29,pourrais,could
29,30,affaire,case
30,31,donner,give
31,32,type,type
32,33,leurs,their
33,34,donné,given
34,35,train,train
35,36,corps,body
36,37,endroit,place
37,38,yeux,eyes
38,39,façon,way
39,40,écoute,listen
40,41,trouve,find
41,42,premier,first
42,43,perdu,lost
43,44,main,hand
44,45,première,first
45,46,côté,side
46,47,pouvoir,power
47,48,sois,be
48,49,tiens,here
49,50,matin,morning
50,51,tellement,so much
51,52,enfant,child
52,53,point,point
53,54,venu,came
54,55,suite,after
55,56,venez,come
56,57,devant,in front of
57,58,vers,towards
58,59,minutes,minutes
59,60,demandé,request
60,61,chambre,bedroom
61,62,mis,placed
62,63,belle,beautiful
63,64,droit,law
64,65,aimerais,would like to
65,66,aujourd'hui,today
66,67,mari,husband
67,68,cause,cause
68,69,enfin,finally
69,70,espère,hope
70,71,eau,water
71,72,parti,left
72,73,nouvelle,new
73,74,boulot,job
74,75,arrêter,Stop
75,76,dirait,would say
76,77,terre,Earth
77,78,compte,account
78,79,donne,given
79,80,loin,far
80,81,fin,end
81,82,croire,believe
82,83,chérie,sweetheart
83,84,gros,large
84,85,plutôt,rather
85,86,aura,will have
86,87,filles,girls
87,88,jouer,to play
88,89,bureau,office
